test	reference
תכף	right away
מניע	motive (motivation)
הראה	he showed
מושכת	pull (attract)
להתיחס	to treat (relate to)
מסווג	he classifies
סיווג עסקאות	transaction classification
כלפי	towards
בחנו	we examined (tested)
מסוים	certain, specific
התפלגות	distribution (statistical)
רגיש	sensitive
אני מניח	I guess
יציב	stable (steady)
לתחושתי	I feel that (as I feel it)
אימון	training
מצריך	it requires (needs)
נבע	was due (emanated)
לסכם	to summarize
לאחד	to unite (consolidate)
מובהק	distinct, significant
תמהיל	mix
פלאים	wonders
נתקלתי	stumbled upon
מדויק	precise
גרסאות	versions
להפריד	to separate
להבחין בין	to distinguish between (differentiate)
לקוח	customer
הונאה	fraud
משתמש קצה	end user (edge)
עלות	cost
אחוז אישור	approval rate
עסקה	transaction
רכישה	purchase
אישור	approval (authorization, confirmation)
נתנים לביצוע	deliverables
פיצ׳רים	features (ML)
דחיות	declines
מפתח (mefateach)	developer
זיהוי	detection
אופטימיזציה	optimization
ולידציה	validation
ידני	manual
צירים	axes
לשרטט (lesartet)	to plot
שירטוט	plot
שיפורים	improvements
משימות	tasks
מוצר	product
קיים	existing
תגובה	response
סוחרים	merchants
חופף	overlap
כפול	duplicate
נגיש	accessible
מקביל	parallel
מחשבה	thought
התפלגות	distribution
ציון	score
לחדד	to sharpen
גזרה	section
השתנו	they changed
עלול	likely, might
נגלה	we will discover
טיוגים	tagging(s)
בסימן	in the context of
צורך	necessity
בגג	at the most (slang)
רשומה	record, entry
תצוגה	display (exhibit, interface)
מתמשך	ongoing
ותיקים	veteran (senior)
קורלטיבי	correlative
סביר	likely (reasonable, plausible)
בכנות	honestly (sincerely, in honesty)
מסתמן	it seems (there are signs that)
לגבב	to pile
ערימה	pile (heap, stack)
למנוע	to prevent (avoid)
הנחות	discounts (sales)
סכום	amount (sum, total)
גישות	approaches
אני אציג	I will introduce
שולפים	they pull (extract)
דחוף	urgent
לקטום	truncate (lop off)
במסגרת	in the framework of (within, as part of)
שיטות	methods
מזיק	harmful
מחפה	cover for
חשש	fear, concern
נלהב	enthusiastic (passionate)
לחפור	to dig (talk too much)
הוא נמנע	he avoids
הם קופצים	they jump
רשף	flash, spark
גישה	approach
לגבי	about, regarding
צמד	duo (pair)
מקושרים	connected (correlated)
בניגוד ל	in contrast to
משתקל	weighing
הוא טוען	he claims
משקל	weight
מפרקות	break (split)
רציף	continuous
חיתוך	cut (crop)
הידרדר	gone downhill (has deteriorated)
תיקון	fix (repair)
התפוצץ	got exploded
סביר	likely (probably)
תקוע	stuck
קצרת טווח	short-term (short range)
להתקלקל	go bad (break down)
עולם דינם	dynamic world
מונה	numerator (counter)
מכנה	denominator
מחנה	campsite
מכונה	machine
חלופיים	alternate (replacement)
מדבג	debug
חלקה	smoothly
הסתמך	rely
שלילי	negative
חיבור	match (connection, +)
מגושם	clumsy
לדגום	to sample
תיעוד	documentation
פחדן	coward
צוענים	gypsies
מזכיר	reminds
להתרחק	get away
חשדנות	suspiciousness
חשוד	suspect
מדחיקה	repress
מטיף	preacher
העצמה	empowerment
מותאם	adapted
יצמח	will grow (sprout)
חוזית	contractually
לגרד	to scratch (scrape)
קובץ	file
מסמך	document
הנמקה	reasoning
מניות	stocks
דמי ניהול	management fee
צבירה	accumulation
ייפוי כח	power of attorney
אג״ח	bond (financial)
קרנות	funds (horns)
חיסכון	savings
כיסוי	coverage
נכות	disability
שארים	survivors (family members; wrt insurance)
מסרתי	I gave (away)
מצהיר	declare
מטה	below ("see below")
רישיון	license
פרמיה	premium
תשואה	yield
יתרה	balance (financial)
קצבת נכות	disability allowance
ביצועים	performance
שקף	slide
מעורבבת	mixed
התפרק	broke apart
סיווג	classified
בוודאות	with certainty
מודל הנוכחי	the current model
חיסכון	saving
להתמודד	to deal with
יש מאין	something out of nothing
מגמה	trend
מרפאה	clinic
מתיש	exhausting (grueling)
בתוקף	in effect
סיכון	risk
חטיבות	divisions
להוכיח	to prove
חקיקה	legislation
להכשל	to fail
להרים	to pick up
מסומנת	marked
שיקול	consideration
לוודא	to make sure (validate)
נשכתב	rewritten
מצריך	to require
להעביר	to transfer
להרכיב	to assemble (put together)
התקנתי	I installed
חוסך	save (m. sg.)
נתמך	(we) supported
מייצג	represent
מודעות	awareness
וידוא	confirmation
וכו׳	etc
גרסאות	versions
ישות	entity
לדחות	to postpone, reject
חומרה	severity
לתקוף	to attack
תתפנו	to evacuate, have time
גישה	access/approach/attitude
מתעסקים	(we) deal with
דוחה	reject, repulsive
מעודכן	updated
נדחתה	was rejected, declined
להתדרדר	to deteriorate
מסורבל	clumsy
להקיף	to surround (encompass)
חומרה	severity
תבנית (tavnit)	pattern
מוגדרי	defined
מפיל (mafil)	falls
ייחודי	unique
מיקוח	bargaining
תמך	supported
עקביות	consistency
הסתבך	got complicated
הבדלה	differentiation
המציאות	reality
מחשב (mechashev)	(he) calculates
ממשקלים	assign weights to (stats)
לבצע	to perform (execute, carry out)
מתייחסים	refer (relate to)
אין ספק	no doubt
לעומק	in depth (deeply)
הבאנו	we brought
חישוב	calculation
תואם	compatible
עבור (avur)	for
משקולות	weights
בחירת המשתמש	the user's choice
הגרף התחתון	the bottom graph
להתאים	to fit
להדריך	to guide (counsel)
הכלאה	hybridization
לבודד	to isolate
ודאי	certainly
רווח בר סמך	confidence interval
טווח	range
הסתברות	probability
להבליט	to highlight
מטילי מטבעות	coin tosses
מתפלגים	split
לתאר	to depict (describe)
אקראי	random
מוחלת	applied
שגיאה	error
כללי אצבע	rules of thumb
כיסוי	coverage
חיובי	positive
שלילי	negative
שואף	aspire
פשטני	simplistic
מובק	notable
לנרמל	to normalize
סבירות	likelihood
יבשת	continent
לוודא	to ensure (verify)
מסגרת	framework (skeleton)
שונות	difference (variance)
מדווחים	report
מניחים	assume
תצפיות	observations
חציון	median
מובהקות	significance
מיזוג דואר	mail merge
משוב (mishuv)	feedback
שגרה	routine
כירורגי	surgical
להתגלגל	roll
מכסים	cover (m. pl.)
רוב המוחלט	the vast majority
מקף	hyphen
גוזר	cut
כספיים (kaspiim)	financial
סבוך	entangled
שרשרת	chain (necklace)
רשמי	official (formal)
תורמים	contribute (m. pl.)
מסתמך	relies
מתייחסת	refers
קפצה	jumped
שאריות	residuals
פונקצייה השגיאה	error function
ערך מוחלט	absolute value
לקבץ	to gather
צירים	axes
מונחים	terms
מובק	significant
תצפית	observation
חידוד	sharpening
סבירות	likelihood
מבוטלת	insignificant (canceled)
עובי הרצועה	thickness of the strip
נקבע	determined (was set)
דרגת הפולינום	degree of the polynomial
לכוון	to tune (a parameter)
מפצל	split
להכיל	to contain
סלסול (silsul)	curl
אומדנים	estimates
חמדני	greedy
קנס (knas)	penalty (fine)
קודקוד	vertex (node, top of head)
יהלום	diamond
בדיעבד	in retrospect (in hindsight)
פטל	raspberry
למזער	to minimize
רווח בר סמך	confidence interval
להגריל	to draw (pick)
מאתגר	challenge
אילוצים	constraints
מגבלות	limitations
נגיש	accessible
מקף	hyphen
קלטתי	I got it (comprehend)
דגימה	sampling
צוללים	we dive
להצמיד	to attach
פישלתי לחלוטין	I messed up completely
ריבוי	multiple
להתרבות	to breed
משאבים	resources
מתבטא	manifests itself
מדגם (midgam)	sample
לחזות	to predict
מרשים	impressive
תקליט	record
מקיף	comprehensive
מובהקים	significant
משקיף	observer (spectator)
מצח	forehead
סדיר	regular
נפרם	unraveled (become undone)
	
סליל	helix
משפטי פלילי	forensics
שדכן	matchmaker (stapler)
חיווי (chivui)	indication
ממופה (memupe)	mapped
להתמקד	to focus on
לזלוג	to trickle
בוכטות	stacks (heaps)
הטרדה	harassment
אונס	rape
תקיפה מגונה	indecent assault
סעיף	clause (legal)
החמיא	was complimented (flattered)
להטריד	to bother (pester, harass)
פרש (parash)	retired
מפכ"ל	police commissioner
יזיזים	friends with benefits
היכרות	acquaintance
ממונה	superior (supervisor)
פרנסה (parnasa)	livelihood
צלול	lucid
היבט מיני	sexual way
הפצה	distribution (dissemination)
פלילי (plili)	criminal
להתפשר	to compromise
הליך	procedure (process)
טענת-שווא	false claim
מנכ"ל (mankal)	CEO
להפיל	to take down
להציע לי	offer me
